timestamp,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,tas_scale,beta_innov,beta_innov_var
51457433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51659453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51861715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52063446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52267152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52472001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52676611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52877712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53080818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54293220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54493369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54695614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54896113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55098753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55299590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55502207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55705188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55908242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56111146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56315127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56516113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56718536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56920833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57122348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57325469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57525361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57727261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57928113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58130324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58331346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58532204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58733300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58936238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59139190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59342539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59543117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59745740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59946457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60149424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60350987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60552113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60760043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60964134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61165730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61367433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61571456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61773373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
