timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
299271449,inf,1,0,0,0,0
300282055,inf,1,0,0,0,0
301298188,inf,1,0,0,0,0
302312337,inf,1,0,0,0,0
303317527,inf,1,0,0,0,0
304325066,inf,1,0,0,0,0
305335613,inf,1,0,0,0,0
306349065,inf,1,0,0,0,0
307362333,inf,1,0,0,0,0
308372587,inf,1,0,0,0,0
310401612,inf,1,0,0,0,0
311410056,inf,1,0,0,0,0
312420053,inf,1,0,0,0,0
313421067,inf,1,0,0,0,0
314433127,inf,1,0,0,0,0
315447183,inf,1,0,0,0,0
316454673,inf,1,0,0,0,0
317464086,inf,1,0,0,0,0
318483128,inf,1,0,0,0,0
319287646,inf,0,0,1,0,0
320293060,inf,0,0,1,0,0
321308103,inf,0,0,1,0,0
322322853,inf,0,0,1,0,0
323339434,inf,0,0,1,0,0
324350058,inf,0,0,1,0,0
325365076,inf,0,0,1,0,0
326375220,inf,0,0,1,0,0
327385052,inf,0,0,1,0,0
328399232,inf,0,0,1,0,0
329413097,inf,0,0,1,0,0
330419138,inf,0,0,1,0,0
331419229,inf,0,0,1,0,0
332437084,inf,0,0,1,0,0
333448057,inf,0,0,1,0,0
334461097,inf,0,0,1,0,0
335470052,inf,0,0,1,0,0
336483153,inf,0,0,1,0,0
337495137,inf,0,0,1,0,0
338507754,inf,0,0,1,0,0
339523302,inf,0,0,1,0,0
340532078,inf,0,0,1,0,0
341548052,inf,0,0,1,0,0
342562204,inf,0,0,1,0,0
344576323,inf,0,0,1,0,0
345588057,inf,0,0,1,0,0
347614056,inf,0,0,1,0,0
348620090,inf,0,0,1,0,0
349637341,inf,0,0,1,0,0
350645184,inf,0,0,1,0,0
351656052,inf,0,0,1,0,0
352674511,inf,0,0,1,0,0
353689100,inf,0,0,1,0,0
354697998,inf,0,0,1,0,0
355707130,inf,0,0,1,0,0
356719420,inf,0,0,1,0,0
357727281,inf,0,0,1,0,0
358746150,inf,0,0,1,0,0
359751272,inf,0,0,1,0,0
360760140,inf,0,0,1,0,0
361769534,inf,0,0,1,0,0
363789052,inf,0,0,1,0,0
364791928,inf,0,0,1,0,0
365802473,inf,0,0,1,0,0
366815224,inf,0,0,1,0,0
367826169,inf,0,0,1,0,0
368835232,inf,0,0,1,0,0
369849756,inf,0,0,1,0,0
370863190,inf,0,0,1,0,0
371879988,inf,0,0,1,0,0
372897389,inf,0,0,1,0,0
373911252,inf,0,0,1,0,0
375935293,inf,0,0,1,0,0
376945582,inf,0,0,1,0,0
377955197,inf,0,0,1,0,0
378962159,inf,0,0,1,0,0
379976790,inf,0,0,1,0,0
382002497,inf,0,0,1,0,0
383022052,inf,0,0,1,0,0
384023138,inf,0,0,1,0,0
385030186,inf,0,0,1,0,0
386050980,inf,0,0,1,0,0
387069052,inf,0,0,1,0,0
388083104,inf,0,0,1,0,0
389095115,inf,0,0,1,0,0
390110056,inf,0,0,1,0,0
391128333,inf,0,0,1,0,0
392141120,inf,0,0,1,0,0
393150591,inf,0,0,1,0,0
394162052,inf,0,0,1,0,0
395178052,inf,0,0,1,0,0
396194155,inf,0,0,1,0,0
397206624,inf,0,0,1,0,0
398218139,inf,0,0,1,0,0
399236941,inf,0,0,1,0,0
400250773,inf,0,0,1,0,0
401261052,inf,0,0,1,0,0
402271252,inf,0,0,1,0,0
404300099,inf,0,0,1,0,0
405313631,inf,0,0,1,0,0
406331571,inf,0,0,1,0,0
407344108,inf,0,0,1,0,0
408358529,inf,0,0,1,0,0
409378089,inf,0,0,1,0,0
410389720,inf,0,0,1,0,0
411392352,inf,0,0,1,0,0
412395313,inf,0,0,1,0,0
413410058,inf,0,0,1,0,0
414422157,inf,0,0,1,0,0
415438572,inf,0,0,1,0,0
417470380,inf,0,0,1,0,0
418484052,inf,0,0,1,0,0
419500149,inf,0,0,1,0,0
420503227,inf,0,0,1,0,0
421518851,inf,0,0,1,0,0
422526829,inf,0,0,1,0,0
423545101,inf,0,0,1,0,0
424564629,inf,0,0,1,0,0
425578433,inf,0,0,1,0,0
426587249,inf,0,0,1,0,0
427592057,inf,0,0,1,0,0
428601077,inf,0,0,1,0,0
429614146,inf,0,0,1,0,0
430624066,inf,0,0,1,0,0
431632399,inf,0,0,1,0,0
432639117,inf,0,0,1,0,0
433643166,inf,0,0,1,0,0
434661063,inf,0,0,1,0,0
435675188,inf,0,0,1,0,0
436695272,inf,0,0,1,0,0
437710101,inf,0,0,1,0,0
439735112,inf,0,0,1,0,0
440749704,inf,0,0,1,0,0
441761124,inf,0,0,1,0,0
442779238,inf,0,0,1,0,0
443788052,inf,0,0,1,0,0
444803162,inf,0,0,1,0,0
445815621,inf,0,0,1,0,0
446826059,inf,0,0,1,0,0
447838305,inf,0,0,1,0,0
448846170,inf,0,0,1,0,0
449860204,inf,0,0,1,0,0
450867128,inf,0,0,1,0,0
451867987,inf,0,0,1,0,0
452881068,inf,0,0,1,0,0
453890052,inf,0,0,1,0,0
454907215,inf,0,0,1,0,0
455923414,inf,0,0,1,0,0
457948972,inf,0,0,1,0,0
458963274,inf,0,0,1,0,0
459963322,inf,0,0,1,0,0
