timestamp,vtol_in_rw_mode,vtol_in_trans_mode,in_transition_to_fw,vtol_transition_failsafe,fw_permanent_stab
296090776,0,0,0,0,0
296290161,0,0,0,0,0
296493369,0,0,0,0,0
296697181,0,0,0,0,0
296900348,0,0,0,0,0
297100460,0,0,0,0,0
297303818,0,0,0,0,0
297506856,0,0,0,0,0
297710796,0,0,0,0,0
297914058,0,0,0,0,0
298117401,0,0,0,0,0
298320571,0,0,0,0,0
298524605,0,0,0,0,0
298727893,0,0,0,0,0
298930824,0,0,0,0,0
299130854,0,0,0,0,0
299334001,0,0,0,0,0
299944619,0,0,0,0,0
300147777,0,0,0,0,0
300351634,0,0,0,0,0
300554853,0,0,0,0,0
300754177,0,0,0,0,0
300957437,0,0,0,0,0
301157341,0,0,0,0,0
301360701,0,0,0,0,0
301563669,0,0,0,0,0
301767661,0,0,0,0,0
301970853,0,0,0,0,0
302174838,0,0,0,0,0
302378161,0,0,0,0,0
302581527,0,0,0,0,0
302780455,0,0,0,0,0
302984711,0,0,0,0,0
303187756,0,0,0,0,0
303391095,0,0,0,0,0
303594821,0,0,0,0,0
303798036,0,0,0,0,0
304001346,0,0,0,0,0
304205253,0,0,0,0,0
304408692,0,0,0,0,0
304607652,0,0,0,0,0
304810785,0,0,0,0,0
305010953,0,0,0,0,0
305214148,0,0,0,0,0
305417261,0,0,0,0,0
305617389,0,0,0,0,0
305820599,0,0,0,0,0
306023898,0,0,0,0,0
306227589,0,0,0,0,0
306430862,0,0,0,0,0
306634173,0,0,0,0,0
306837541,0,0,0,0,0
307037195,0,0,0,0,0
307240450,0,0,0,0,0
308656429,0,0,0,0,0
308856570,0,0,0,0,0
309059690,0,0,0,0,0
309262826,0,0,0,0,0
309462949,0,0,0,0,0
309666195,0,0,0,0,0
309869254,0,0,0,0,0
310072435,0,0,0,0,0
310276447,0,0,0,0,0
310479645,0,0,0,0,0
310683122,0,0,0,0,0
310886852,0,0,0,0,0
311086044,0,0,0,0,0
311289374,0,0,0,0,0
311488614,0,0,0,0,0
311692588,0,0,0,0,0
311895896,0,0,0,0,0
312098932,0,0,0,0,0
312506050,0,0,0,0,0
312709207,0,0,0,0,0
312909215,0,0,0,0,0
313112452,0,0,0,0,0
313315795,0,0,0,0,0
313519112,0,0,0,0,0
313718948,0,0,0,0,0
313922057,0,0,0,0,0
314125360,0,0,0,0,0
314329190,0,0,0,0,0
314532412,0,0,0,0,0
314735760,0,0,0,0,0
314935777,0,0,0,0,0
315139138,0,0,0,0,0
315342170,0,0,0,0,0
315541970,0,0,0,0,0
315745362,0,0,0,0,0
315948524,0,0,0,0,0
316150817,0,0,0,0,0
316351774,0,0,0,0,0
316554972,0,0,0,0,0
316758352,0,0,0,0,0
316958023,0,0,0,0,0
317161198,0,0,0,0,0
317363636,0,0,0,0,0
317564446,0,0,0,0,0
317767899,0,0,0,0,0
317970804,0,0,0,0,0
318170863,0,0,0,0,0
318374028,0,0,0,0,0
318577252,0,0,0,0,0
318780443,0,0,0,0,0
318984715,0,0,0,0,0
319187595,0,0,0,0,0
319390993,0,0,0,0,0
319590986,0,0,0,0,0
319794054,0,0,0,0,0
319997213,0,0,0,0,0
320201370,0,0,0,0,0
320404537,0,0,0,0,0
320607749,0,0,0,0,0
320810794,0,0,0,0,0
321014975,0,0,0,0,0
321218024,0,0,0,0,0
321421215,0,0,0,0,0
321621394,0,0,0,0,0
321824394,0,0,0,0,0
322027598,0,0,0,0,0
322231753,0,0,0,0,0
322435007,0,0,0,0,0
322637991,0,0,0,0,0
322838991,0,0,0,0,0
323041246,0,0,0,0,0
323244827,0,0,0,0,0
323447582,0,0,0,0,0
323647918,0,0,0,0,0
323850801,0,0,0,0,0
324054160,0,0,0,0,0
324253404,0,0,0,0,0
324457237,0,0,0,0,0
324660602,0,0,0,0,0
324863931,0,0,0,0,0
325067603,0,0,0,0,0
325270800,0,0,0,0,0
325473992,0,0,0,0,0
325678019,0,0,0,0,0
325877242,0,0,0,0,0
326080435,0,0,0,0,0
326284408,0,0,0,0,0
326487941,0,0,0,0,0
326690989,0,0,0,0,0
326894851,0,0,0,0,0
327098169,0,0,0,0,0
327301246,0,0,0,0,0
327504560,0,0,0,0,0
327704477,0,0,0,0,0
327907761,0,0,0,0,0
328110970,0,0,0,0,0
328314940,0,0,0,0,0
328518010,0,0,0,0,0
328721244,0,0,0,0,0
328924380,0,0,0,0,0
329124440,0,0,0,0,0
329327641,0,0,0,0,0
329535098,0,0,0,0,0
329734803,0,0,0,0,0
329934033,0,0,0,0,0
330137217,0,0,0,0,0
330341345,0,0,0,0,0
330544380,0,0,0,0,0
330747755,0,0,0,0,0
330946990,0,0,0,0,0
331150851,0,0,0,0,0
331353976,0,0,0,0,0
331557343,0,0,0,0,0
331757246,0,0,0,0,0
331956589,0,0,0,0,0
332362835,0,0,0,0,0
332562824,0,0,0,0,0
332766028,0,0,0,0,0
332969225,0,0,0,0,0
333173389,0,0,0,0,0
333376445,0,0,0,0,0
333575613,0,0,0,0,0
333778995,0,0,0,0,0
334987657,0,0,0,0,0
335187770,0,0,0,0,0
335391037,0,0,0,0,0
335593960,0,0,0,0,0
335796459,0,0,0,0,0
335997432,0,0,0,0,0
336200441,0,0,0,0,0
336403625,0,0,0,0,0
336607652,0,0,0,0,0
336810818,0,0,0,0,0
337010170,0,0,0,0,0
337213385,0,0,0,0,0
337413379,0,0,0,0,0
337616811,0,0,0,0,0
337818925,0,0,0,0,0
338019752,0,0,0,0,0
338223239,0,0,0,0,0
338426041,0,0,0,0,0
338630049,0,0,0,0,0
338833244,0,0,0,0,0
