timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
300148761,0.31494495,0.049980465,1.4111639
300352094,0.3867257,0.044321787,1.4152616
300555565,0.46062925,0.040919207,1.4257247
300754774,0.5991049,0.030552732,1.4285475
300957680,0.33066508,0.024582854,1.4046245
301157665,0.4129363,0.032312386,1.3892583
301361242,0.25012645,0.04428371,1.3727987
301564069,0.24453391,0.050749477,1.3514947
301768456,0.30353865,0.05099452,1.347882
301971294,0.19089845,0.04650868,1.3352165
302175508,0.2787073,0.042204622,1.3435929
302378496,0.24673867,0.039437663,1.3338192
302582358,0.21294545,0.039771434,1.32176
302780877,0.29854974,0.04234796,1.3088657
302985570,0.16226172,0.03663632,1.296465
303188128,0.33077466,0.036803156,1.2849011
303392132,0.32861367,0.043820456,1.2806333
303595157,0.45826647,0.031969912,1.3004602
303799184,0.4482284,0.03706351,1.3235248
304001608,0.2891621,0.03368518,1.3378872
304205941,0.35098174,0.032841653,1.3342309
304404772,0.21742547,0.038515057,1.3237875
304608930,0.34717312,0.03821852,1.3161687
304811237,0.31197166,0.030689111,1.3184128
305011204,0.25694492,0.023598012,1.3337907
305214955,0.40921703,0.027462505,1.3325953
305418470,0.33312327,0.027700493,1.3358543
305618801,0.2198254,0.02659362,1.3402238
305820887,0.16526842,0.022351522,1.3464407
306025383,0.27553695,0.023223354,1.3462437
306228010,0.2566139,0.024906253,1.3390579
306431924,0.24422385,0.027654322,1.3378203
306634453,0.2605481,0.027615085,1.3164701
306838607,0.30410236,0.028886108,1.3199285
307038398,0.33865723,0.029718958,1.3121133
307240850,0.3312247,0.025180383,1.3133924
308657580,0.24312544,0.023552895,1.3159423
308857629,0.2950433,0.02711391,1.3188194
309060047,0.21894288,0.02292656,1.3282859
309264138,0.24909137,0.022581669,1.332082
309464168,0.37321502,0.022319192,1.3341311
309666496,0.40172505,0.02264627,1.337518
309869993,0.43416882,0.025947176,1.3345271
310073738,0.39201835,0.022613563,1.3337137
310276913,0.2899466,0.021160383,1.3372105
310481031,0.40144032,0.021754716,1.3385133
310683291,0.38942057,0.026189556,1.3310531
310888142,0.39751983,0.027901363,1.3386073
311087223,0.2811333,0.029939363,1.3251102
311290664,0.26673138,0.029665826,1.3274819
311489739,0.3428004,0.031499382,1.3176306
311692826,0.3571033,0.026831822,1.3181822
311896970,0.3098245,0.02970464,1.320973
312099253,0.29617622,0.028212141,1.3117052
312506382,0.29497847,0.036849886,1.2946184
312710007,0.49381202,0.043894548,1.2863892
312910400,0.3916528,0.042027563,1.2712073
313113403,0.3855463,0.039764084,1.2625066
313316032,0.32810286,0.031508867,1.2597059
313520117,0.34900725,0.028900964,1.2579746
313720153,0.33905083,0.028016808,1.260789
313923050,0.322065,0.029680377,1.2589649
314125682,0.44394922,0.023068873,1.2642779
314330032,0.32039967,0.024484567,1.2626114
314532801,0.30642194,0.025424387,1.2615495
314736586,0.30634603,0.027872529,1.2667435
314936851,0.3905035,0.029052254,1.2624246
315139348,0.36566418,0.029019007,1.2683144
315342463,0.2995591,0.029603815,1.269512
315542388,0.34330186,0.033139676,1.2689254
315746174,0.33250576,0.042748746,1.2751375
315948881,0.29379115,0.045838006,1.2681724
316151958,0.30564994,0.046803243,1.2572045
316352787,0.32716465,0.04544321,1.2408537
316555321,0.28601035,0.043457665,1.2398514
316759138,0.3512003,0.038336366,1.2405653
316959371,0.2690461,0.034733906,1.235613
317162381,0.3507565,0.03319448,0.9545812
317363981,0.20894367,0.031665068,0.43925762
317564815,0.24434385,0.03267388,0.3079339
317768737,0.28213334,0.029045032,0.27557626
317971227,0.28937325,0.032048676,0.27032858
318171187,0.2922778,0.0266184,0.28843594
318374985,0.28612155,0.0326012,0.28616124
318577689,0.26259378,0.03890066,0.28898197
318780797,0.24623686,0.047434356,0.26837105
318985527,0.23892696,0.050262876,0.26432705
319188033,0.20722197,0.05331967,0.26802102
319393242,0.22129484,0.048350696,0.26433846
319593620,0.22652718,0.036107615,0.26134297
319794342,0.18846647,0.031030107,0.2695687
319999892,0.19916159,0.029089555,0.27582094
320201654,0.23665632,0.02355434,0.27043054
320405022,0.27277973,0.033124793,0.26444313
320610389,0.32069814,0.040256724,0.25890848
320813225,0.35669774,0.038908504,0.25181732
321015276,0.32766673,0.040390886,0.2549328
321220929,0.27351785,0.037884004,0.25623354
321421580,0.25071624,0.033212304,0.26422995
321621679,0.22172678,0.03097692,0.2626198
321825532,0.19397986,0.028764911,0.26421994
322028029,0.21495183,0.025545409,0.2655116
322233961,0.1860316,0.02976429,0.2652407
322435275,0.22422783,0.03387623,0.26236957
322638850,0.2457348,0.035435576,0.25966945
322839991,0.26012364,0.034125052,0.24644646
323042353,0.28074145,0.03523968,0.25145522
323244992,0.28971094,0.027800715,0.25110233
323448730,0.3056525,0.025465481,0.25656027
323648928,0.26860398,0.019223295,0.28330597
323853246,0.29330876,0.023292346,0.333246
324054399,0.31233582,0.02815059,0.3303501
324253681,0.27325934,0.026717087,0.32633725
324458160,0.2768412,0.023141028,0.3330612
324660844,0.24765714,0.03003691,0.32944423
324864776,0.2570962,0.031581067,0.33916855
325068046,0.24472664,0.032263964,0.33227357
325271960,0.2424494,0.02942233,0.32649302
325476241,0.22821636,0.030135686,0.33417854
325676811,0.22135839,0.027668742,0.32911658
325877627,0.21188636,0.025774693,0.32465553
326076865,0.22756323,0.025213039,0.32938254
326281553,0.25306264,0.026409153,0.331027
326483957,0.25067928,0.027230252,0.35269302
326687901,0.24664721,0.027666854,0.36752185
326891402,0.29392284,0.02568146,0.37616086
327096426,0.29165202,0.025930831,0.3715104
327298401,0.29767048,0.027051287,0.37541813
327501217,0.31593636,0.027706275,0.37553287
327701517,0.34232295,0.032798346,0.37847522
327904064,0.34892637,0.03118919,0.38577363
328108115,0.3489945,0.030107124,0.38325724
328307744,0.36814883,0.029908596,0.3781375
328510342,0.33802834,0.033739135,0.3758601
328714475,0.35466307,0.034258146,0.3812408
328915157,0.32114145,0.02429389,0.3891543
329115323,0.28382462,0.025767999,0.38509545
329316011,0.30363688,0.027424937,0.38937292
329519167,0.22061157,0.026921019,0.3903345
329723653,0.26986936,0.02584424,0.39416227
329926498,0.27500844,0.02557091,0.40105093
330131123,0.2608612,0.02506487,0.4006933
330331335,0.27541462,0.029780999,0.40117294
330530366,0.30276227,0.028187174,0.41196114
330734477,0.3399264,0.032580443,0.41618848
330935445,0.3443949,0.030655986,0.43440378
331135187,0.35171908,0.029865112,0.47363678
331340640,0.3197292,0.035621066,0.55040807
331541641,0.35739666,0.036505353,0.5328261
331746186,0.34955528,0.038686138,0.5244116
331948828,0.33739907,0.044032555,0.51933557
332355245,0.30151367,0.041875858,0.509646
332555231,0.31967244,0.037937243,0.51095384
332755198,0.31337774,0.036299046,0.5156766
332958200,0.27570042,0.036278255,0.5147542
333159887,0.2520107,0.035340592,0.5152194
333360813,0.22663282,0.034928683,0.518068
333564086,0.22576678,0.033623513,0.52326524
333767614,0.25425023,0.032966733,0.5162907
334984033,0.3173664,0.033285085,0.5157202
335184024,0.33267292,0.033166155,0.520077
335389182,0.29892522,0.035555396,0.5083646
335590380,0.3221409,0.036619674,0.5110083
335796743,0.2963949,0.041999634,0.5044061
335997688,0.2972409,0.041966062,0.49526092
336201642,0.28587425,0.042525217,0.4905581
336403972,0.27263522,0.042423666,0.4951188
336608809,0.24484836,0.040845897,0.49621087
336811248,0.28246716,0.03614259,0.5021169
337012657,0.2505163,0.034080494,0.49437478
337213660,0.23226106,0.031822745,0.5130176
337413640,0.18656874,0.032342963,0.51391584
337617759,0.20127621,0.029616859,0.52839285
337819959,0.1856907,0.027996318,0.53443485
338020460,0.18624747,0.029107574,0.5223941
338223436,0.20374796,0.033535372,0.5556605
338427126,0.2063151,0.03925776,0.54425323
338630392,0.2303396,0.040920407,0.5401417
338834051,0.27324623,0.035755504,0.5800156
339037253,0.22465442,0.03768342,0.6472083
339239228,0.14047822,0.041281078,0.86465377
339440000,0.3463658,0.03322103,1.1414015
339643945,0.178056,0.025006715,1.336789
339843975,0.17859693,0.025578883,1.3196394
340046489,0.1847885,0.025413886,1.2799498
340250371,0.22520523,0.022722641,1.2576978
340452841,0.28427842,0.024393043,1.2311683
340657784,0.32365745,0.026328085,1.2004682
340860131,0.31125534,0.028589567,1.1785129
341064351,0.32604554,0.027397273,1.1532781
341266879,0.3909215,0.027197838,1.1393344
341466991,0.33729547,0.03511567,1.1167549
341669673,0.34515485,0.037526958,1.1139373
341869543,0.39304206,0.039434552,1.0958544
342073246,0.39351737,0.03037412,1.0897385
342276911,0.33045948,0.033513963,1.1068699
342479364,0.33082187,0.03174123,1.108235
342680956,0.4105901,0.0295243,1.1191777
342882976,0.33381626,0.025434831,1.1298934
343085555,0.34652105,0.024397098,1.1414604
343289538,0.33359802,0.027595997,1.1472274
343492788,0.34609255,0.023614774,1.1533464
343696480,0.33315513,0.024451852,1.1549443
343899246,0.32506245,0.027730292,1.1637126
344099309,0.31067613,0.028351823,1.1724172
344302397,0.30901378,0.030173713,1.1822218
344506215,0.28170243,0.02852507,1.188722
344708926,0.31275997,0.027305473,1.1963605
344913954,0.30412787,0.03019895,1.1992941
345116000,0.36249667,0.028201869,1.213626
345320955,0.34013474,0.029705802,1.2238022
345523212,0.2704537,0.027989872,1.2306476
345722351,0.26098996,0.03164304,1.2315594
345925623,0.38658044,0.031697746,1.2355583
346124979,0.2833335,0.03276452,1.2399497
346330328,0.2788969,0.033331867,1.2454191
346532002,0.38308504,0.032862086,1.2396867
346736397,0.29778588,0.031929664,1.241089
346938474,0.30073065,0.038615696,1.2463784
347142793,0.24988726,0.047649715,1.2388431
347345518,0.23330425,0.04899371,1.228673
347545601,0.30643544,0.034642592,1.2209226
347745708,0.32848248,0.033836342,1.2392389
347948050,0.18154524,0.03127208,1.2377641
348151964,0.22026214,0.03150832,1.2246058
348355328,0.2500537,0.028540961,1.2197161
348555124,0.25443316,0.03632844,1.2173223
348757565,0.40640575,0.042303257,1.2020444
348961416,0.32672736,0.043882757,1.1908202
